date;club;country;elo
01/06/2015;La Coruna;ESP;165941
01/06/2015;Las Palmas;ESP;164498
01/06/2015;Leganes;ESP;155765
01/06/2015;Levante;ESP;168250
01/06/2015;Llagostera;ESP;155583
01/06/2015;Lugo;ESP;152470
01/06/2015;Malaga;ESP;171997
01/06/2015;Mallorca;ESP;153051
01/06/2015;Mirandes;ESP;155099
01/06/2015;Numancia;ESP;155897
01/06/2015;Osasuna;ESP;154289
01/06/2015;Ponferradina;ESP;156924
01/06/2015;Real Madrid;ESP;206056
01/06/2015;Recreativo;ESP;147073
01/06/2015;Sabadell;ESP;147830
01/06/2015;Santander;ESP;149575
01/06/2015;Sevilla;ESP;191532
01/06/2015;Sociedad;ESP;174751
01/06/2015;Sp Gijon;ESP;167761
01/06/2015;Tenerife;ESP;154053
01/06/2015;Valencia;ESP;188713
01/06/2015;Valladolid;ESP;166133
01/06/2015;Vallecano;ESP;170230
01/06/2015;Villarreal;ESP;177528
01/06/2015;Zaragoza;ESP;159287
15/06/2015;Alaves;ESP;153820
15/06/2015;Albacete;ESP;153056
15/06/2015;Alcorcon;ESP;157736
15/06/2015;Almeria;ESP;163719
15/06/2015;Ath Bilbao;ESP;180368
15/06/2015;Ath Madrid;ESP;194540
15/06/2015;Barcelona;ESP;208763
15/06/2015;Barcelona B;ESP;147745
15/06/2015;Betis;ESP;169707
15/06/2015;Celta;ESP;177202
15/06/2015;Cordoba;ESP;154781
15/06/2015;Eibar;ESP;162174
15/06/2015;Elche;ESP;168449
15/06/2015;Espanol;ESP;174222
15/06/2015;Getafe;ESP;165561
15/06/2015;Girona;ESP;166078
15/06/2015;Granada;ESP;166989
15/06/2015;La Coruna;ESP;166142
15/06/2015;Las Palmas;ESP;165838
15/06/2015;Leganes;ESP;155864
15/06/2015;Levante;ESP;168452
15/06/2015;Llagostera;ESP;157570
15/06/2015;Lugo;ESP;153234
15/06/2015;Malaga;ESP;172199
15/06/2015;Mallorca;ESP;152420
15/06/2015;Mirandes;ESP;156133
15/06/2015;Numancia;ESP;155846
15/06/2015;Osasuna;ESP;154510
15/06/2015;Ponferradina;ESP;156935
15/06/2015;Real Madrid;ESP;206258
15/06/2015;Recreativo;ESP;148194
15/06/2015;Sabadell;ESP;148013
15/06/2015;Santander;ESP;150885
15/06/2015;Sevilla;ESP;191734
15/06/2015;Sociedad;ESP;174953
15/06/2015;Sp Gijon;ESP;169863
15/06/2015;Tenerife;ESP;154507
15/06/2015;Valencia;ESP;188915
15/06/2015;Valladolid;ESP;163805
15/06/2015;Vallecano;ESP;170432
15/06/2015;Villarreal;ESP;177730
15/06/2015;Zaragoza;ESP;160619
01/07/2015;Alaves;ESP;153820
01/07/2015;Albacete;ESP;153056
01/07/2015;Alcorcon;ESP;157736
01/07/2015;Almeria;ESP;163719
01/07/2015;Ath Bilbao;ESP;180368
01/07/2015;Ath Bilbao B;ESP;153614
01/07/2015;Ath Madrid;ESP;194540
01/07/2015;Barcelona;ESP;208763
01/07/2015;Barcelona B;ESP;147745
01/07/2015;Betis;ESP;169707
01/07/2015;Celta;ESP;177202
01/07/2015;Cordoba;ESP;154781
01/07/2015;Eibar;ESP;162174
01/07/2015;Elche;ESP;168449
01/07/2015;Espanol;ESP;174222
01/07/2015;Getafe;ESP;165561
01/07/2015;Girona;ESP;166078
01/07/2015;Granada;ESP;166989
01/07/2015;Huesca;ESP;153614
01/07/2015;La Coruna;ESP;166142
01/07/2015;Las Palmas;ESP;166478
01/07/2015;Leganes;ESP;155864
01/07/2015;Levante;ESP;168452
01/07/2015;Llagostera;ESP;157570
01/07/2015;Lugo;ESP;153234
01/07/2015;Malaga;ESP;172199
01/07/2015;Mallorca;ESP;152420
01/07/2015;Mirandes;ESP;156133
01/07/2015;Numancia;ESP;155846
01/07/2015;Osasuna;ESP;154510
01/07/2015;Oviedo;ESP;153614
01/07/2015;Ponferradina;ESP;156935
01/07/2015;Real Madrid;ESP;206258
01/07/2015;Recreativo;ESP;148194
01/07/2015;Sabadell;ESP;148013
01/07/2015;Santander;ESP;150885
01/07/2015;Sevilla;ESP;191734
01/07/2015;Sociedad;ESP;174953
01/07/2015;Sp Gijon;ESP;169863
01/07/2015;Tarragona;ESP;153614
01/07/2015;Tenerife;ESP;154507
01/07/2015;Valencia;ESP;188915
01/07/2015;Valladolid;ESP;163805
01/07/2015;Vallecano;ESP;170432
01/07/2015;Villarreal;ESP;177730
01/07/2015;Zaragoza;ESP;159979
15/07/2015;Alaves;ESP;153820
15/07/2015;Albacete;ESP;153056
15/07/2015;Alcorcon;ESP;157736
15/07/2015;Almeria;ESP;163719
15/07/2015;Ath Bilbao;ESP;180368
15/07/2015;Ath Bilbao B;ESP;153614
15/07/2015;Ath Madrid;ESP;194540
15/07/2015;Barcelona;ESP;208763
15/07/2015;Betis;ESP;169707
15/07/2015;Celta;ESP;177202
15/07/2015;Cordoba;ESP;154781
15/07/2015;Eibar;ESP;162174
15/07/2015;Elche;ESP;168449
15/07/2015;Espanol;ESP;174222
15/07/2015;Getafe;ESP;165561
15/07/2015;Girona;ESP;166078
15/07/2015;Granada;ESP;166989
15/07/2015;Huesca;ESP;153614
